,score,activation,hidden_layer_sizes,learning_rate_init,max_iter,solver
0,0.8363254101787414,logistic,"(100, 25)",0.0001,400,adam
1,0.8360803645872226,logistic,"(100, 25)",0.0001,500,adam
2,0.8322458938536078,logistic,"(100, 25)",0.001,400,adam
3,0.8317266592538226,logistic,"(100, 25)",0.001,500,adam
4,0.8360803645872226,logistic,"(150, 35)",0.0001,400,adam
5,0.8358351513927526,logistic,"(150, 35)",0.0001,500,adam
6,0.83067510849573,logistic,"(150, 35)",0.001,400,adam
7,0.8260737930616822,logistic,"(150, 35)",0.001,500,adam
8,0.8357100556936073,logistic,"(200, 50)",0.0001,400,adam
9,0.8362617965800251,logistic,"(200, 50)",0.0001,500,adam
10,0.8291584961537246,logistic,"(200, 50)",0.001,400,adam
11,0.8300236878593064,logistic,"(200, 50)",0.001,500,adam
