,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_hidden_layer_sizes,param_learning_rate_init,param_max_iter,param_solver,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0,0.20837783813476562,0.10236503772051253,0.003549655278523763,0.0009579201861423703,logistic,"(100, 25)",0.0001,400,adam,"{'activation': 'logistic', 'hidden_layer_sizes': (100, 25), 'learning_rate_init': 0.0001, 'max_iter': 400, 'solver': 'adam'}",0.3459715639810426,0.3476190476190476,0.3444976076555024,0.3460294064185309,0.0012749787376489042,8
1,0.3592209815979004,0.19326277646032253,0.0031501452128092446,0.0005263936801034167,logistic,"(100, 25)",0.0001,500,adam,"{'activation': 'logistic', 'hidden_layer_sizes': (100, 25), 'learning_rate_init': 0.0001, 'max_iter': 500, 'solver': 'adam'}",0.3459715639810426,0.3476190476190476,0.3444976076555024,0.3460294064185309,0.0012749787376489042,8
2,4.743110577265422,0.5912215735634031,0.003294865290323893,0.00022317255401154372,logistic,"(100, 25)",0.001,400,adam,"{'activation': 'logistic', 'hidden_layer_sizes': (100, 25), 'learning_rate_init': 0.001, 'max_iter': 400, 'solver': 'adam'}",0.5697299582518628,0.5831420487909037,0.615832614322692,0.5895682071218195,0.019362082487287532,1
3,4.897983233133952,0.12990002333604164,0.0027614434560139975,0.00016520192158483508,logistic,"(100, 25)",0.001,500,adam,"{'activation': 'logistic', 'hidden_layer_sizes': (100, 25), 'learning_rate_init': 0.001, 'max_iter': 500, 'solver': 'adam'}",0.5978807947019867,0.547228144989339,0.5523595264877605,0.5658228220596954,0.0227650020348635,4
4,0.8859509627024332,0.0836298776225506,0.00467220942179362,0.0008572434383486401,logistic,"(150, 35)",0.0001,400,adam,"{'activation': 'logistic', 'hidden_layer_sizes': (150, 35), 'learning_rate_init': 0.0001, 'max_iter': 400, 'solver': 'adam'}",0.3459715639810426,0.3476190476190476,0.3444976076555024,0.3460294064185309,0.0012749787376489042,8
5,0.8346168200174967,0.34772939879465703,0.0045317808787028,0.0011674204672186407,logistic,"(150, 35)",0.0001,500,adam,"{'activation': 'logistic', 'hidden_layer_sizes': (150, 35), 'learning_rate_init': 0.0001, 'max_iter': 500, 'solver': 'adam'}",0.3459715639810426,0.3476190476190476,0.3444976076555024,0.3460294064185309,0.0012749787376489042,8
6,5.271861712137858,0.4055598968578956,0.002175410588582357,0.00013721430544288318,logistic,"(150, 35)",0.001,400,adam,"{'activation': 'logistic', 'hidden_layer_sizes': (150, 35), 'learning_rate_init': 0.001, 'max_iter': 400, 'solver': 'adam'}",0.575339558573854,0.5546496136424194,0.5781883001134338,0.5693924907765691,0.01048945984418985,2
7,5.56152606010437,0.28966924707923164,0.0021674633026123047,0.0003725026629971611,logistic,"(150, 35)",0.001,500,adam,"{'activation': 'logistic', 'hidden_layer_sizes': (150, 35), 'learning_rate_init': 0.001, 'max_iter': 500, 'solver': 'adam'}",0.5789755392602901,0.5474211423699915,0.5670362633242274,0.5644776483181697,0.013008455553716828,5
8,0.7812663714090983,0.22717337750544955,0.0051390329996744795,0.0004465498872318865,logistic,"(200, 50)",0.0001,400,adam,"{'activation': 'logistic', 'hidden_layer_sizes': (200, 50), 'learning_rate_init': 0.0001, 'max_iter': 400, 'solver': 'adam'}",0.3459715639810426,0.3476190476190476,0.3444976076555024,0.3460294064185309,0.0012749787376489042,8
9,1.015553871790568,0.3631928777546977,0.00481867790222168,0.0019019947708711225,logistic,"(200, 50)",0.0001,500,adam,"{'activation': 'logistic', 'hidden_layer_sizes': (200, 50), 'learning_rate_init': 0.0001, 'max_iter': 500, 'solver': 'adam'}",0.356052036199095,0.3476190476190476,0.3444976076555024,0.34938956382454833,0.004880385945646933,7
10,5.692156632741292,0.014856906535535473,0.0024126370747884116,9.378356432014678e-05,logistic,"(200, 50)",0.001,400,adam,"{'activation': 'logistic', 'hidden_layer_sizes': (200, 50), 'learning_rate_init': 0.001, 'max_iter': 400, 'solver': 'adam'}",0.5619047619047619,0.5620204603580563,0.5592020592020592,0.5610424271549591,0.0013021935812490787,6
11,6.7304690678914385,0.35860117650625395,0.001972039540608724,9.028004927680052e-05,logistic,"(200, 50)",0.001,500,adam,"{'activation': 'logistic', 'hidden_layer_sizes': (200, 50), 'learning_rate_init': 0.001, 'max_iter': 500, 'solver': 'adam'}",0.5892857142857142,0.5474211423699915,0.5670362633242274,0.5679143733266444,0.017102415098535793,3
