,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_max_iter,param_multi_class,param_penalty,param_solver,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0,0.02323118845621745,0.0011281787177680163,0.0014221668243408203,0.00023210690531438053,1.0,100,auto,l2,lbfgs,"{'C': 1.0, 'max_iter': 100, 'multi_class': 'auto', 'penalty': 'l2', 'solver': 'lbfgs'}",0.6019230769230769,0.5996753246753246,0.5715056082830026,0.5910346699604679,0.013839587783926372,2
1,0.19567998250325522,0.021253440849297603,0.0011365413665771484,0.00014115359835070488,1.0,100,auto,l2,saga,"{'C': 1.0, 'max_iter': 100, 'multi_class': 'auto', 'penalty': 'l2', 'solver': 'saga'}",0.6085211154525505,0.598109517601043,0.5781883001134338,0.5949396443890091,0.012584540614963951,1
2,0.02599048614501953,0.005428271149379418,0.0013183752695719402,6.920448070000095e-05,1.0,200,auto,l2,lbfgs,"{'C': 1.0, 'max_iter': 200, 'multi_class': 'auto', 'penalty': 'l2', 'solver': 'lbfgs'}",0.6019230769230769,0.5996753246753246,0.5715056082830026,0.5910346699604679,0.013839587783926372,2
3,0.3432605266571045,0.048918913481885665,0.0009073416392008463,4.945843232353531e-05,1.0,200,auto,l2,saga,"{'C': 1.0, 'max_iter': 200, 'multi_class': 'auto', 'penalty': 'l2', 'solver': 'saga'}",0.6085211154525505,0.5914882081865004,0.5715056082830026,0.5905049773073511,0.01512750254725915,4
4,0.023291349411010742,0.005202482601335844,0.001333316167195638,7.708859197867847e-05,0.5,100,auto,l2,lbfgs,"{'C': 0.5, 'max_iter': 100, 'multi_class': 'auto', 'penalty': 'l2', 'solver': 'lbfgs'}",0.5937483273564202,0.5914882081865004,0.5848484848484848,0.5900283401304685,0.0037771426786465854,5
5,0.20696139335632324,0.028676969480937516,0.0012212594350179036,0.00014926632198784264,0.5,100,auto,l2,saga,"{'C': 0.5, 'max_iter': 100, 'multi_class': 'auto', 'penalty': 'l2', 'solver': 'saga'}",0.5937483273564202,0.5766332339387368,0.5848484848484848,0.5850766820478807,0.006989070569842939,8
6,0.018002669016520183,0.00029366229301993886,0.0012824535369873047,1.4706130046993585e-05,0.5,200,auto,l2,lbfgs,"{'C': 0.5, 'max_iter': 200, 'multi_class': 'auto', 'penalty': 'l2', 'solver': 'lbfgs'}",0.5937483273564202,0.5914882081865004,0.5848484848484848,0.5900283401304685,0.0037771426786465854,5
7,0.3242026170094808,0.04896119438999252,0.001073757807413737,0.00019467441104616893,0.5,200,auto,l2,saga,"{'C': 0.5, 'max_iter': 200, 'multi_class': 'auto', 'penalty': 'l2', 'solver': 'saga'}",0.5937483273564202,0.5914882081865004,0.5848484848484848,0.5900283401304685,0.0037771426786465854,5
8,0.015294154485066732,0.0015049935733493296,0.0013935565948486328,0.00018899371237779522,0.2,100,auto,l2,lbfgs,"{'C': 0.2, 'max_iter': 100, 'multi_class': 'auto', 'penalty': 'l2', 'solver': 'lbfgs'}",0.5751552795031056,0.5700216450216451,0.5700216450216451,0.5717328565154652,0.0024200185026492203,9
9,0.19016369183858237,0.020137964343551702,0.0013559659322102864,3.7233183197898136e-05,0.2,100,auto,l2,saga,"{'C': 0.2, 'max_iter': 100, 'multi_class': 'auto', 'penalty': 'l2', 'solver': 'saga'}",0.5751552795031056,0.5700216450216451,0.5700216450216451,0.5717328565154652,0.0024200185026492203,9
10,0.013263622919718424,0.0005239444633631064,0.0012938976287841797,6.712742732992211e-05,0.2,200,auto,l2,lbfgs,"{'C': 0.2, 'max_iter': 200, 'multi_class': 'auto', 'penalty': 'l2', 'solver': 'lbfgs'}",0.5751552795031056,0.5700216450216451,0.5700216450216451,0.5717328565154652,0.0024200185026492203,9
11,0.15087056159973145,0.0308304929451323,0.0012542406717936199,0.00024659154154011657,0.2,200,auto,l2,saga,"{'C': 0.2, 'max_iter': 200, 'multi_class': 'auto', 'penalty': 'l2', 'solver': 'saga'}",0.5751552795031056,0.5700216450216451,0.5700216450216451,0.5717328565154652,0.0024200185026492203,9
