,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_hidden_layer_sizes,param_max_iter,param_solver,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0,8.016427834828695,1.811445347717564,0.004695971806844075,0.0008534542707549203,logistic,"(100,)",400,adam,"{'activation': 'logistic', 'hidden_layer_sizes': (100,), 'max_iter': 400, 'solver': 'adam'}",0.5978807947019867,0.5835866261398175,0.5914882081865004,0.5909852096761016,0.005846398854396014,2
1,11.853081623713175,0.6734820989102479,0.004308382670084636,0.0004674233925687582,logistic,"(100,)",500,adam,"{'activation': 'logistic', 'hidden_layer_sizes': (100,), 'max_iter': 500, 'solver': 'adam'}",0.6033638492654887,0.5693430656934307,0.6101476510067114,0.594284855321877,0.017852630878357104,1
2,10.846591472625732,0.42719190944867097,0.004813830057779948,0.0007229411782994621,logistic,"(150,)",400,adam,"{'activation': 'logistic', 'hidden_layer_sizes': (150,), 'max_iter': 400, 'solver': 'adam'}",0.5765079365079365,0.5660134228187919,0.5817130001606942,0.5747447864958075,0.006529456621217723,6
3,14.11860696474711,0.4241836172780309,0.004146416982014974,0.0014340768243597494,logistic,"(150,)",500,adam,"{'activation': 'logistic', 'hidden_layer_sizes': (150,), 'max_iter': 500, 'solver': 'adam'}",0.585496674533362,0.5618336886993603,0.5954362416107382,0.5809222016144868,0.014094378132305753,3
4,14.367144505182901,0.5595594190421412,0.005966901779174805,0.000647428625739509,logistic,"(200,)",400,adam,"{'activation': 'logistic', 'hidden_layer_sizes': (200,), 'max_iter': 400, 'solver': 'adam'}",0.577491554054054,0.5760776781903543,0.5817130001606942,0.5784274108017008,0.0023938928291851284,4
5,15.21062175432841,0.5212768261362898,0.003487110137939453,0.0014087326067771296,logistic,"(200,)",500,adam,"{'activation': 'logistic', 'hidden_layer_sizes': (200,), 'max_iter': 500, 'solver': 'adam'}",0.5899830220713073,0.5546496136424194,0.5875268817204301,0.5773865058113855,0.016108648929135327,5
6,7.200101931889852,0.9301024041653679,0.004696289698282878,0.0005419379064258792,relu,"(100,)",400,adam,"{'activation': 'relu', 'hidden_layer_sizes': (100,), 'max_iter': 400, 'solver': 'adam'}",0.585496674533362,0.547228144989339,0.5557082394327488,0.5628110196518166,0.016410508899192704,11
7,9.731794754664103,0.3108444629450775,0.004369258880615234,0.0006092017240606825,relu,"(100,)",500,adam,"{'activation': 'relu', 'hidden_layer_sizes': (100,), 'max_iter': 500, 'solver': 'adam'}",0.5658757664622767,0.5251426438436517,0.5929887106357694,0.5613357069805659,0.02788346343699347,13
8,9.550713141759237,0.47415656366560266,0.004008293151855469,0.000654268193528162,relu,"(150,)",400,adam,"{'activation': 'relu', 'hidden_layer_sizes': (150,), 'max_iter': 400, 'solver': 'adam'}",0.5673521441096765,0.5251426438436517,0.6264635124298317,0.57298610012772,0.041555470542993675,7
9,10.934840758641561,0.7226777047220834,0.00884389877319336,0.0077995209473037405,relu,"(150,)",500,adam,"{'activation': 'relu', 'hidden_layer_sizes': (150,), 'max_iter': 500, 'solver': 'adam'}",0.5805918421754199,0.5254463096189714,0.580724832214765,0.5622543280030521,0.026027256029141937,12
10,12.621774355570475,0.2780765520435269,0.005459308624267578,6.0669916308766756e-05,relu,"(200,)",400,adam,"{'activation': 'relu', 'hidden_layer_sizes': (200,), 'max_iter': 400, 'solver': 'adam'}",0.5540132450331126,0.5401459854014599,0.586281276962899,0.5601468357991571,0.019327562074728584,14
11,14.798281828562418,0.27254917807796725,0.0038607120513916016,0.0007067365602464222,relu,"(200,)",500,adam,"{'activation': 'relu', 'hidden_layer_sizes': (200,), 'max_iter': 500, 'solver': 'adam'}",0.5832582781456953,0.5180170575692964,0.5700216450216451,0.5570989935788789,0.028158484876474963,15
12,6.650821765263875,1.3769124861495043,0.003384669621785482,0.00042795514362290257,identity,"(100,)",400,adam,"{'activation': 'identity', 'hidden_layer_sizes': (100,), 'max_iter': 400, 'solver': 'adam'}",0.552686115096445,0.5547445255474454,0.556729939603106,0.5547201934156655,0.0016509740962324158,16
13,6.683210611343384,0.3876288043964852,0.0020840962727864585,0.00046760743353499576,identity,"(100,)",500,adam,"{'activation': 'identity', 'hidden_layer_sizes': (100,), 'max_iter': 500, 'solver': 'adam'}",0.5606960950764006,0.5400479616306955,0.6058184143222507,0.5688541570097823,0.02746335246220187,10
14,6.437527338663737,0.0848497088124482,0.001588582992553711,8.053538215502498e-05,identity,"(150,)",400,adam,"{'activation': 'identity', 'hidden_layer_sizes': (150,), 'max_iter': 400, 'solver': 'adam'}",0.536231884057971,0.5401459854014599,0.5445087945087945,0.5402955546560751,0.0033806892664250917,18
15,6.90381383895874,0.3302445023357825,0.001516421635945638,7.459983190861933e-05,identity,"(150,)",500,adam,"{'activation': 'identity', 'hidden_layer_sizes': (150,), 'max_iter': 500, 'solver': 'adam'}",0.5658757664622767,0.547228144989339,0.5971665330125635,0.5700901481547264,0.020603905930296713,9
16,6.786277135213216,0.16254158015871586,0.0015835762023925781,6.487818874951493e-05,identity,"(200,)",400,adam,"{'activation': 'identity', 'hidden_layer_sizes': (200,), 'max_iter': 400, 'solver': 'adam'}",0.5673521441096765,0.5322236448997013,0.5534550195567144,0.5510102695220307,0.014444963741396078,17
17,6.583671887715657,0.38493569153422114,0.0014178752899169922,0.00013628091627225134,identity,"(200,)",500,adam,"{'activation': 'identity', 'hidden_layer_sizes': (200,), 'max_iter': 500, 'solver': 'adam'}",0.55738997844261,0.5546496136424194,0.6022580645161291,0.5714325522003861,0.02182562037232917,8
