,score,activation,hidden_layer_sizes,max_iter,solver
0,0.6104750125425011,logistic,"(100,)",400,adam
1,0.6122366526624269,logistic,"(100,)",500,adam
2,0.610974623576444,logistic,"(150,)",400,adam
3,0.6113316955621326,logistic,"(150,)",500,adam
4,0.6104815697651567,logistic,"(200,)",400,adam
5,0.6099919319815901,logistic,"(200,)",500,adam
6,0.5862184402714627,relu,"(100,)",400,adam
7,0.5860469126799281,relu,"(100,)",500,adam
8,0.583735768611794,relu,"(150,)",400,adam
9,0.5834578376238102,relu,"(150,)",500,adam
10,0.5813408165415291,relu,"(200,)",400,adam
11,0.5807602958220819,relu,"(200,)",500,adam
12,0.5576497789167781,identity,"(100,)",400,adam
13,0.557014514756501,identity,"(100,)",500,adam
14,0.553448139900833,identity,"(150,)",400,adam
15,0.5583371877737295,identity,"(150,)",500,adam
16,0.549276557784731,identity,"(200,)",400,adam
17,0.5426721959532687,identity,"(200,)",500,adam
